k4.csv
r,filename,time taken to solve (ms),satisfiability
r0.2,k4_n150_r0.2_01.cnf,3,true
r0.2,k4_n150_r0.2_02.cnf,0,true
r0.2,k4_n150_r0.2_03.cnf,1,true
r0.2,k4_n150_r0.2_04.cnf,0,true
r0.2,k4_n150_r0.2_05.cnf,0,true
r0.2,k4_n150_r0.2_06.cnf,0,true
r0.2,k4_n150_r0.2_07.cnf,0,true
r0.2,k4_n150_r0.2_08.cnf,0,true
r0.2,k4_n150_r0.2_09.cnf,0,true
r0.2,k4_n150_r0.2_10.cnf,0,true
r0.2,k4_n150_r0.2_11.cnf,0,true
r0.2,k4_n150_r0.2_12.cnf,0,true
r0.2,k4_n150_r0.2_13.cnf,0,true
r0.2,k4_n150_r0.2_14.cnf,0,true
r0.2,k4_n150_r0.2_15.cnf,0,true
r0.2,k4_n150_r0.2_16.cnf,0,true
r0.2,k4_n150_r0.2_17.cnf,0,true
r0.2,k4_n150_r0.2_18.cnf,0,true
r0.2,k4_n150_r0.2_19.cnf,0,true
r0.2,k4_n150_r0.2_20.cnf,0,true
r0.2,k4_n150_r0.2_21.cnf,0,true
r0.2,k4_n150_r0.2_22.cnf,0,true
r0.2,k4_n150_r0.2_23.cnf,0,true
r0.2,k4_n150_r0.2_24.cnf,0,true
r0.2,k4_n150_r0.2_25.cnf,0,true
r0.2,k4_n150_r0.2_26.cnf,0,true
r0.2,k4_n150_r0.2_27.cnf,0,true
r0.2,k4_n150_r0.2_28.cnf,0,true
r0.2,k4_n150_r0.2_29.cnf,0,true
r0.2,k4_n150_r0.2_30.cnf,0,true
r0.2,k4_n150_r0.2_31.cnf,0,true
r0.2,k4_n150_r0.2_32.cnf,0,true
r0.2,k4_n150_r0.2_33.cnf,0,true
r0.2,k4_n150_r0.2_34.cnf,0,true
r0.2,k4_n150_r0.2_35.cnf,0,true
r0.2,k4_n150_r0.2_36.cnf,0,true
r0.2,k4_n150_r0.2_37.cnf,0,true
r0.2,k4_n150_r0.2_38.cnf,0,true
r0.2,k4_n150_r0.2_39.cnf,0,true
r0.2,k4_n150_r0.2_40.cnf,0,true
r0.2,k4_n150_r0.2_41.cnf,0,true
r0.2,k4_n150_r0.2_42.cnf,0,true
r0.2,k4_n150_r0.2_43.cnf,0,true
r0.2,k4_n150_r0.2_44.cnf,0,true
r0.2,k4_n150_r0.2_45.cnf,0,true
r0.2,k4_n150_r0.2_46.cnf,0,true
r0.2,k4_n150_r0.2_47.cnf,0,true
r0.2,k4_n150_r0.2_48.cnf,0,true
r0.2,k4_n150_r0.2_49.cnf,0,true
r0.2,k4_n150_r0.2_50.cnf,0,true
r0.4,k4_n150_r0.4_01.cnf,0,true
r0.4,k4_n150_r0.4_02.cnf,0,true
r0.4,k4_n150_r0.4_03.cnf,0,true
r0.4,k4_n150_r0.4_04.cnf,0,true
r0.4,k4_n150_r0.4_05.cnf,0,true
r0.4,k4_n150_r0.4_06.cnf,0,true
r0.4,k4_n150_r0.4_07.cnf,0,true
r0.4,k4_n150_r0.4_08.cnf,0,true
r0.4,k4_n150_r0.4_09.cnf,0,true
r0.4,k4_n150_r0.4_10.cnf,0,true
r0.4,k4_n150_r0.4_11.cnf,0,true
r0.4,k4_n150_r0.4_12.cnf,0,true
r0.4,k4_n150_r0.4_13.cnf,0,true
r0.4,k4_n150_r0.4_14.cnf,0,true
r0.4,k4_n150_r0.4_15.cnf,0,true
r0.4,k4_n150_r0.4_16.cnf,0,true
r0.4,k4_n150_r0.4_17.cnf,0,true
r0.4,k4_n150_r0.4_18.cnf,0,true
r0.4,k4_n150_r0.4_19.cnf,0,true
r0.4,k4_n150_r0.4_20.cnf,0,true
r0.4,k4_n150_r0.4_21.cnf,0,true
r0.4,k4_n150_r0.4_22.cnf,0,true
r0.4,k4_n150_r0.4_23.cnf,0,true
r0.4,k4_n150_r0.4_24.cnf,0,true
r0.4,k4_n150_r0.4_25.cnf,0,true
r0.4,k4_n150_r0.4_26.cnf,0,true
r0.4,k4_n150_r0.4_27.cnf,0,true
r0.4,k4_n150_r0.4_28.cnf,0,true
r0.4,k4_n150_r0.4_29.cnf,2,true
r0.4,k4_n150_r0.4_30.cnf,0,true
r0.4,k4_n150_r0.4_31.cnf,0,true
r0.4,k4_n150_r0.4_32.cnf,0,true
r0.4,k4_n150_r0.4_33.cnf,0,true
r0.4,k4_n150_r0.4_34.cnf,0,true
